"","mpg","cylinders","cubicinches","hp","weightlbs","time.to.60","year","brand","label"
"1",14,1,0.728682170542636,165,0.767139479905437,12,2006," US.",1
"2",31.9,0.2,0.0542635658914729,71,0.0921985815602837,14,2014," Europe.",2
"3",17,1,0.604651162790698,140,0.542553191489362,11,2005," US.",1
"4",15,1,0.857881136950904,150,0.634751773049645,10,2005," US.",1
"5",30.5,0.2,0.0775193798449612,63,0.129432624113475,17,2012," US.",2
"6",23,1,0.728682170542636,125,0.675827423167849,17,2014," US.",1
"7",13,1,0.731266149870801,158,0.812647754137116,13,2008," US.",1
"8",14,1,0.961240310077519,215,0.7975768321513,9,2005," US.",1
"9",25.4,0.4,0.297157622739018,77,0.566489361702128,20,2014," Europe.",3
"10",37.7,0.2,0.0542635658914729,62,0.129137115839244,17,2016," Japan.",2
"11",34,0.2,0.103359173126615,70,0.186761229314421,17,2017," Japan.",2
"12",34.3,0.2,0.0749354005167959,78,0.169917257683215,16,2015," Europe.",2
"13",16,1,0.604651162790698,140,0.747044917257683,14,2009," US.",1
"14",11,1,0.728682170542636,180,0.606087470449173,11,2008," US.",1
"15",19.1,0.6,0.405684754521964,90,0.522458628841608,19,2015," US.",3
"16",16.9,1,0.728682170542636,155,0.811761229314421,15,2014," US.",1
"17",31.8,0.2,0.0439276485788114,65,0.120271867612293,19,2014," Japan.",2
"18",16,1,0.609819121447028,150,0.537825059101655,12,2005," US.",1
"19",24,0.2,0.116279069767442,95,0.196513002364066,16,2007," Japan.",2
"20",24,0.2,0.10077519379845,90,0.241430260047281,15,2005," Europe.",2
"21",37.2,0.2,0.0465116279069767,65,0.119976359338061,16,2015," Japan.",2
"22",21.5,0.2,0.136950904392765,110,0.291666666666667,13,2012," Europe.",2
"23",24,0.6,0.341085271317829,81,0.413416075650118,18,2011," US.",3
"24",15.5,1,0.731266149870801,142,0.721335697399527,14,2014," US.",1
"25",38.1,0.2,0.0542635658914729,60,0.104905437352246,19,2015," Japan.",2
"26",33,0.2,0.0594315245478036,53,0.0537825059101655,17,2011," Japan.",2
"27",31,0.2,0.00775193798449612,65,0.0472813238770686,19,2006," Japan.",2
"28",14,1,0.731266149870801,148,0.899527186761229,14,2010," US.",1
"29",18,0.6,0.470284237726098,78,0.579491725768322,21,2011," US.",3
"30",29.9,0.2,0.0775193798449612,65,0.226654846335697,21,2016," US.",2
"31",27,0.2,0.0749354005167959,88,0.152777777777778,15,2005," Japan.",2
"32",16,0.6,0.470284237726098,100,0.492021276595745,18,2008," US.",3
"33",23,0.2,0.134366925064599,97,0.263888888888889,15,2007," Japan.",2
"34",21,0.6,0.338501291989664,90,0.305851063829787,15,2005," US.",3
"35",30,0.2,0.0749354005167959,67,0.109929078014184,16,2012," Japan.",2
"36",22.4,0.6,0.421188630490956,110,0.532505910165485,16,2016," US.",3
"37",26,0.2,0.0749354005167959,46,0.0656028368794326,21,2005," Europe.",2
"38",21.5,0,0.0310077519379845,110,0.327127659574468,14,2012," Japan.",2
"39",16.5,1,0.731266149870801,138,0.692080378250591,13,2014," US.",1
"40",20.2,0.6,0.423772609819121,90,0.488179669030733,18,2014," US.",3
"41",16,0.6,0.470284237726098,105,0.674940898345154,19,2010," US.",3
"42",14,1,0.604651162790698,140,0.893912529550827,16,2009," US.",1
"43",18.5,0.6,0.470284237726098,110,0.600472813238771,16,2011," US.",3
"44",17.5,0.6,0.470284237726098,110,0.563534278959811,16,2012," US.",3
"45",14,1,1,225,0.435283687943262,10,2005," US.",1
"46",31.6,0.2,0.134366925064599,74,0.302009456264775,18,2016," Japan.",2
"47",13,1,0.645994832041344,150,0.632978723404255,14,2011," US.",1
"48",22,0.2,0.13953488372093,86,0.231087470449173,16,2007," US.",2
"49",29,0.2,0.0749354005167959,78,0.0966312056737589,15,2012," Europe.",2
"50",20.2,0.6,0.341085271317829,88,0.427600472813239,17,2016," US.",3
"51",13,1,0.857881136950904,150,0.842494089834515,12,2008," US.",1
"52",27.2,0.2,0.188630490956072,71,0.466016548463357,25,2014," Europe.",2
"53",14,1,0.702842377260982,160,0.58983451536643,8,2005," US.",1
"54",24,0.2,0.124031007751938,75,0.161052009456265,16,2008," Europe.",2
"55",16.5,1,0.728682170542636,180,0.817671394799054,12,2011," US.",1
"56",16,1,0.857881136950904,230,0.787529550827423,10,2008," US.",1
"57",19,0.6,0.227390180878553,108,0.389184397163121,16,2011," Japan.",3
"58",33.5,0.2,0.0775193798449612,83,0.136524822695035,16,2012," US.",2
"59",29,0.2,0.0568475452196382,70,0.0957446808510638,14,2011," Europe.",2
"60",13,1,0.754521963824289,175,0.652482269503546,11,2008," US.",1
"61",18,0.6,0.423772609819121,100,0.393617021276596,16,2008," US.",3
"62",22,0.2,0.103359173126615,94,0.226359338061466,17,2008," Japan.",2
"63",32.7,0.6,0.258397932816537,132,0.383274231678487,11,2015," Japan.",3
"64",46.6,0.2,0.0465116279069767,65,0.146867612293144,18,2015," Japan.",2
"65",14,1,0.645994832041344,150,0.775413711583924,15,2008," US.",1
"66",18.5,0.6,0.470284237726098,98,0.565011820330969,19,2012," US.",3
"67",26,0.2,0.0749354005167959,46,0.0995862884160757,21,2008," Europe.",2
"68",32,0.2,0.0594315245478036,67,0.104018912529551,16,2017," Japan.",2
"69",29.5,0.2,0.0749354005167959,71,0.0626477541371158,12,2011," Europe.",2
"70",17.5,1,0.612403100775194,145,0.669917257683215,13,2012," US.",1
"71",20,0.6,0.335917312661499,95,0.440011820330969,17,2009," US.",3
"72",27,0.2,0.113695090439276,88,0.303486997635934,19,2017," US.",2
"73",28,0.2,0.0749354005167959,92,0.199468085106383,17,2007," Japan.",2
"74",24,0.2,0.131782945736434,97,0.275413711583924,17,2010," Japan.",2
"75",29,0.2,0.0775193798449612,83,0.179078014184397,17,2009," Europe.",2
"76",38,0.6,0.501291989664083,85,0.414302600472813,17,2017," US.",3
"77",22.5,0.6,0.423772609819121,90,0.434988179669031,18,2011," US.",3
"78",21.1,0.2,0.170542635658915,95,0.266548463356974,15,2013," Japan.",2
"79",26,0.2,0.0775193798449612,90,0.192671394799054,16,2008," Europe.",2
"80",32.4,0.2,0.103359173126615,75,0.217789598108747,17,2016," Japan.",2
"81",15.5,1,0.857881136950904,190,0.801418439716312,12,2012," US.",1
"82",12,1,0.9328165374677,198,0.986702127659574,12,2008," US.",1
"83",19.2,1,0.612403100775194,145,0.535460992907801,13,2013," US.",1
"84",23,0.2,0.121447028423773,95,0.319444444444444,15,2010," Europe.",2
"85",25,0.2,0.124031007751938,81,0.179373522458629,17,2011," Europe.",2
"86",35,0.2,0.0103359173126615,69,0,18,2006," Japan.",2
"87",18,0.6,0.338501291989664,97,0.343085106382979,16,2005," US.",3
"88",17.6,0.6,0.405684754521964,85,0.547281323877069,17,2016," US.",3
"89",28,0.2,0.0568475452196382,75,0.151300236406619,15,2009," US.",2
"90",31,0.2,0.131782945736434,82,0.327127659574468,19,2017," US.",2
"91",34.1,0.2,0.0465116279069767,65,0.106973995271868,15,2014," Japan.",2
"92",27.2,0.2,0.131782945736434,97,0.203014184397163,15,2013," Japan.",2
"93",13,1,0.728682170542636,175,0.734929078014184,13,2008," US.",1
"94",17,0.6,0.470284237726098,100,0.50709219858156,16,2006," US.",3
"95",26,0.2,0.0775193798449612,79,0.189716312056738,18,2011," US.",2
"96",17,0.6,0.421188630490956,110,0.67789598108747,21,2010," US.",3
"97",12,1,0.728682170542636,180,0.852836879432624,13,2008," US.",1
"98",18,0.6,0.470284237726098,88,0.450945626477541,15,2006," US.",3
"99",18.2,1,0.645994832041344,135,0.655141843971631,15,2014," US.",1
"100",16,0.6,0.470284237726098,100,0.640661938534279,17,2009," US.",3
"101",11,1,0.857881136950904,150,1,14,2008," US.",1
"102",12,1,0.857881136950904,167,0.973108747044917,13,2008," US.",1
"103",25,0.2,0.0775193798449612,80,0.151595744680851,17,2007," US.",2
"104",34.2,0.2,0.0956072351421189,70,0.173463356973995,13,2014," US.",2
"105",32.2,0.2,0.103359173126615,75,0.192671394799054,15,2015," Japan.",2
"106",26.6,0.2,0.214470284237726,84,0.302009456264775,16,2016," US.",2
"107",43.4,0.2,0.0568475452196382,48,0.213356973995272,24,2015," Europe.",2
"108",30,0.2,0.0516795865633075,76,0.133569739952719,15,2006," Europe.",2
"109",25,0.2,0.136950904392765,115,0.312647754137116,14,2010," Europe.",2
"110",18,1,0.617571059431525,130,0.558806146572104,12,2005," US.",1
"111",20,0.2,0.0749354005167959,88,0.196808510638298,19,2008," Japan.",2
"112",18,0.2,0.136950904392765,112,0.390070921985816,15,2007," Europe.",2
"113",16,1,0.731266149870801,149,0.804373522458629,15,2012," US.",1
"114",33,0.2,0.0594315245478036,53,0.0537825059101655,18,2010," Japan.",2
"115",37.3,0.2,0.0594315245478036,69,0.152777777777778,15,2014," Europe.",2
"116",18,0.6,0.405684754521964,95,0.641843971631206,19,2010," US.",3
"117",24.5,0.2,0.214470284237726,88,0.333037825059102,16,2012," US.",2
"118",21,0.6,0.421188630490956,110,0.421394799054374,15,2010," US.",3
"119",34.4,0.2,0.0775193798449612,65,0.127659574468085,16,2016," US.",2
"120",15,1,0.9328165374677,198,0.806146572104019,10,2005," US.",1
"121",27,0.2,0.0852713178294574,83,0.174054373522459,15,2011," Europe.",2
"122",26,0.2,0.0284237726098191,67,0.103427895981087,16,2009," Europe.",2
"123",16,1,0.857881136950904,170,0.902777777777778,12,2010," US.",1
"124",23.2,0.2,0.227390180878553,105,0.33451536643026,17,2013," US.",2
"125",27,0.2,0.0749354005167959,60,0.0653073286052009,19,2006," Europe.",2
"126",26.5,0.2,0.186046511627907,72,0.281323877068558,14,2011," US.",2
"127",13,1,0.754521963824289,170,0.898640661938534,13,2008," US.",1
"128",30.9,0.2,0.0956072351421189,75,0.182328605200946,15,2013," US.",2
"129",20,0.2,0.118863049095607,91,0.286347517730496,14,2008," Europe.",2
"130",36.1,0.2,0.0775193798449612,66,0.0552600472813239,14,2013," US.",2
"131",26,0.2,0.0749354005167959,78,0.203014184397163,15,2009," Europe.",2
"132",28,0.2,0.214470284237726,90,0.314716312056738,17,2015," US.",2
"133",12,1,1,225,0.986406619385343,11,2008," US.",1
"134",17,1,0.609819121447028,150,0.608451536643026,12,2007," US.",1
"135",15,1,0.728682170542636,145,0.835401891252955,14,2010," US.",1
"136",16,1,0.645994832041344,150,0.761524822695035,13,2011," US.",1
"137",26,0.2,0.0594315245478036,70,0.101063829787234,21,2006," US.",2
"138",13,1,0.604651162790698,129,0.459810874704492,12,2010," US.",1
"139",22,0.2,0.136950904392765,98,0.393617021276596,15,2010," Europe.",2
"140",21,0.2,0.134366925064599,87,0.403664302600473,20,2007," Europe.",2
"141",26.8,0.6,0.271317829457364,115,0.321217494089835,13,2014," US.",3
"142",29,0.2,0.0749354005167959,75,0.164893617021277,16,2010," Japan.",2
"143",32,0.2,0.196382428940568,96,0.310874704491726,14,2017," Japan.",2
"144",35.1,0.2,0.0335917312661499,60,0.0434397163120567,16,2016," Japan.",2
"145",19.2,1,0.51421188630491,125,0.588652482269504,15,2014," US.",1
"146",23,0.2,0.134366925064599,88,0.397163120567376,17,2010," Europe.",2
"147",20.6,0.6,0.405684754521964,110,0.516252955082742,17,2014," US.",3
"148",27,0.2,0.214470284237726,90,0.331560283687943,18,2017," US.",2
"149",15,1,0.728682170542636,165,0.614657210401891,12,2005," US.",1
"150",18.1,1,0.604651162790698,139,0.470449172576832,11,2013," US.",1
"151",31.3,0.2,0.134366925064599,75,0.274527186761229,18,2015," Japan.",2
"152",27.5,0.2,0.170542635658915,95,0.2798463356974,14,2013," Japan.",2
"153",14,1,1,225,0.83096926713948,10,2005," US.",1
"154",15,0.6,0.470284237726098,72,0.456560283687943,20,2010," US.",3
"155",28,0.2,0.10077519379845,86,0.251477541371158,16,2011," Europe.",2
"156",19,0.6,0.470284237726098,88,0.499113475177305,16,2006," US.",3
"157",18,0,0.00516795865633075,90,0.151004728132388,14,2008," Japan.",2
"158",29.5,0.2,0.0775193798449612,68,0.154255319148936,17,2013," Japan.",2
"159",19,0.6,0.423772609819121,100,0.301713947990544,13,2006," US.",3
"160",16.2,0.6,0.245478036175711,133,0.531028368794326,16,2013," Europe.",3
"161",24.3,0.2,0.214470284237726,90,0.410756501182033,20,2015," US.",2
"162",17.5,1,0.645994832041344,140,0.729018912529551,14,2013," US.",1
"163",18,0.6,0.266149870801034,97,0.405141843971631,15,2010," US.",3
"164",23,0.6,0.335917312661499,95,0.381501182033097,16,2008," US.",3
"165",23,0.2,0.0749354005167959,54,0.189420803782506,24,2007," Europe.",2
"166",19.9,1,0.496124031007752,110,0.517730496453901,16,2013," US.",1
"167",16,0.6,0.405684754521964,105,0.539598108747045,16,2006," US.",3
"168",26,0.2,0.227390180878553,92,0.287234042553192,15,2017," US.",2
"169",20,0.6,0.227390180878553,122,0.352836879432624,14,2008," Japan.",3
"170",38,0.2,0.0956072351421189,63,0.151300236406619,15,2017," US.",2
"171",32.4,0.2,0.10077519379845,72,0.200059101654846,17,2015," Japan.",2
"172",20.3,0.4,0.162790697674419,103,0.359633569739953,16,2013," Europe.",3
"173",29,0.2,0,49,0.0750591016548463,20,2008," Europe.",2
"174",31,0.2,0.113695090439276,85,0.284278959810875,16,2017," US.",2
"175",21,0.2,0.13953488372093,86,0.181146572104019,17,2007," US.",2
"176",26,0.2,0.0723514211886305,69,0.170212765957447,18,2007," Europe.",2
"177",14,1,0.857881136950904,175,0.819148936170213,12,2007," US.",1
"178",14,1,0.609819121447028,150,0.608451536643026,12,2008," US.",1
"179",20.2,1,0.604651162790698,139,0.578309692671395,13,2013," US.",1
"180",31.5,0.2,0.0775193798449612,68,0.127659574468085,19,2012," Japan.",2
"181",19.8,0.6,0.341085271317829,85,0.406914893617021,18,2014," US.",3
"182",33.8,0.2,0.0749354005167959,67,0.157210401891253,18,2015," Japan.",2
"183",17.5,1,0.612403100775194,140,0.768912529550827,13,2011," US.",1
"184",18,1,0.645994832041344,150,0.53871158392435,11,2005," US.",1
"185",34,0.2,0.113695090439276,88,0.231087470449173,18,2017," US.",2
"186",20.8,0.6,0.341085271317829,85,0.430555555555556,17,2013," US.",3
"187",18,0.6,0.470284237726098,105,0.545508274231678,16,2010," US.",3
"188",13,1,0.645994832041344,150,0.687647754137116,13,2011," US.",1
"189",14,1,0.731266149870801,153,0.743498817966903,13,2007," US.",1
"190",13,1,0.961240310077519,215,0.9225768321513,11,2008," US.",1
"191",25.8,0.2,0.227390180878553,92,0.2975768321513,14,2016," US.",2
"192",28.4,0.2,0.214470284237726,90,0.312352245862884,16,2014," US.",2
"193",13,1,0.857881136950904,190,0.830082742316785,13,2007," US.",1
"194",15,1,0.728682170542636,145,0.729609929078014,13,2008," US.",1
"195",14,1,0.645994832041344,150,0.728132387706856,14,2007," US.",1
"196",41.5,0.2,0.0775193798449612,76,0.156914893617021,15,2015," Europe.",2
"197",27.2,0.2,0.17312661498708,84,0.259160756501182,16,2016," US.",2
"198",43.1,0.2,0.0568475452196382,48,0.109929078014184,22,2013," Europe.",2
"199",29,0.2,0.0568475452196382,70,0.0957446808510638,14,2010," Europe.",2
"200",33.5,0.2,0.0439276485788114,70,0.0981087470449173,17,2012," Japan.",2
"201",26,0.2,0.124031007751938,75,0.187056737588652,14,2009," Europe.",2
"202",23,0.2,0.186046511627907,83,0.303191489361702,17,2010," US.",2
"203",23.9,1,0.496124031007752,90,0.533983451536643,22,2014," US.",1
"204",19,0.6,0.405684754521964,100,0.596040189125296,18,2012," US.",3
"205",21,0.2,0.186046511627907,72,0.232860520094563,20,2008," US.",2
"206",15,1,0.832041343669251,190,0.661052009456265,9,2005," US.",1
"207",40.8,0.2,0.0439276485788114,65,0.146867612293144,19,2015," Japan.",2
"208",18,0.6,0.470284237726098,88,0.416075650118203,17,2008," US.",3
"209",13,1,0.617571059431525,130,0.734338061465721,14,2007," US.",1
"210",25.4,0.6,0.258397932816537,116,0.38031914893617,13,2016," Japan.",3
"211",22,0.6,0.201550387596899,97,0.355200945626478,15,2012," Japan.",3
"212",17.7,0.6,0.421188630490956,165,0.541371158392435,13,2013," US.",3
"213",39.1,0.2,0.0284237726098191,58,0.0419621749408983,17,2016," Japan.",2
"214",30,0.2,0.0284237726098191,70,0.136229314420804,20,2006," Europe.",2
"215",22,0.6,0.405684754521964,100,0.478723404255319,15,2011," US.",3
"216",32.9,0.2,0.131782945736434,100,0.296099290780142,15,2016," Japan.",2
"217",37,0.2,0.0439276485788114,65,0.106973995271868,19,2016," Japan.",2
"218",14.5,1,0.731266149870801,152,0.768912529550827,13,2011," US.",1
"219",28.8,0.6,0.271317829457364,115,0.290189125295508,11,2014," US.",3
"220",15,1,0.604651162790698,130,0.792553191489362,15,2012," US.",1
"221",17.5,0.6,0.490956072351421,95,0.466903073286052,18,2011," US.",3
"222",21.6,0.2,0.136950904392765,115,0.349290780141844,16,2013," Europe.",2
"223",14,1,0.645994832041344,150,0.840425531914894,14,2009," US.",1
"224",16.5,0.6,0.258397932816537,120,0.652186761229314,17,2011," Europe.",3
"225",14,1,0.604651162790698,137,0.717789598108747,15,2008," US.",1
"226",32,0.2,0.0387596899224806,61,0.115248226950355,19,2009," Japan.",2
"227",10,1,0.754521963824289,215,0.887115839243499,14,2005," US.",1
"228",31,0.2,0.020671834625323,52,0.0106382978723404,17,2009," Japan.",2
"229",21,0.6,0.341085271317829,85,0.287825059101655,16,2005," US.",3
"230",27,0.2,0.186046511627907,86,0.347813238770686,16,2017," US.",2
"231",15,1,0.813953488372093,170,0.576241134751773,10,2005," US.",1
"232",28,0.2,0.134366925064599,79,0.299054373522459,19,2017," US.",2
"233",23,0.2,0.186046511627907,78,0.289302600472813,19,2010," US.",2
"234",16,1,0.645994832041344,150,0.852541371158392,15,2010," US.",1
"235",20,0.2,0.160206718346253,102,0.45419621749409,16,2011," Europe.",2
"236",44,0.2,0.0749354005167959,52,0.152777777777778,25,2017," Europe.",2
"237",14,1,0.645994832041344,150,0.733747044917258,13,2006," US.",1
"238",20.2,0.6,0.341085271317829,85,0.399527186761229,16,2013," US.",3
"239",39,0.2,0.0465116279069767,64,0.0774231678486998,16,2016," US.",2
"240",23,0.2,0.13953488372093,86,0.179373522458629,14,2006," US.",2
"241",13,1,0.728682170542636,145,0.721631205673759,12,2011," US.",1
"242",18,0.6,0.405684754521964,105,0.445626477541371,17,2008," US.",3
"243",16,1,0.857881136950904,180,0.770390070921986,11,2012," US.",1
"244",25,0.2,0.108527131782946,87,0.312943262411348,18,2005," Europe.",2
"245",14,1,0.997416020671835,220,0.809988179669031,9,2005," US.",1
"246",15,1,0.645994832041344,150,0.527777777777778,11,2008," US.",1
"247",19.4,1,0.645994832041344,140,0.627068557919622,13,2013," US.",1
"248",44.3,0.2,0.0568475452196382,48,0.139479905437352,22,2015," Europe.",2
"249",28,0.2,0.0749354005167959,75,0.16016548463357,16,2011," Japan.",2
"250",29,0.2,0.17312661498708,84,0.269503546099291,16,2017," US.",2
"251",32.1,0.2,0.0775193798449612,70,0.149822695035461,16,2015," US.",2
"252",24,0.2,0.136950904392765,110,0.309397163120567,14,2008," Europe.",2
"253",36.4,0.4,0.136950904392765,67,0.395094562647754,20,2015," Europe.",3
"254",13,1,0.728682170542636,145,0.701832151300236,13,2008," US.",1
"255",23.5,0.6,0.271317829457364,110,0.328605200945626,13,2016," US.",3
"256",24,0.2,0.116279069767442,95,0.224290780141844,15,2005," Japan.",2
"257",17,1,0.612403100775194,130,0.658096926713948,15,2014," US.",1
"258",36.1,0.2,0.0594315245478036,60,0.0552600472813239,16,2013," Japan.",2
"259",22,0.6,0.423772609819121,112,0.361111111111111,15,2017," US.",3
"260",18,0.6,0.423772609819121,100,0.494976359338061,16,2006," US.",3
"261",22,0.6,0.470284237726098,105,0.514184397163121,15,2011," US.",3
